datetime,source_ip,username,success,failure_reason
2019-01-01 00:25:00.167745,75.161.66.106,olopez,True,
2019-01-01 00:45:05.810986,95.227.178.199,olopez,True,
2019-01-01 01:03:23.348956,87.170.218.31,bbrown,True,
2019-01-01 01:04:56.314116,87.170.218.31,bbrown,True,
2019-01-01 01:11:32.858952,51.74.112.23,bbrown,True,
2019-01-01 01:25:18.772895,95.227.178.199,olopez,True,
2019-01-01 02:01:20.870144,218.251.199.112,olopez,True,
2019-01-01 02:20:12.551172,81.170.69.243,xbrown,True,
2019-01-01 02:23:33.859360,81.170.69.243,xbrown,True,
2019-01-01 02:26:53.387270,218.251.199.112,olopez,True,
2019-01-01 03:04:34.368137,218.251.199.112,olopez,True,
2019-01-01 03:08:24.234114,95.227.178.199,olopez,True,
2019-01-01 03:26:12.132793,177.58.79.142,elopez,True,
2019-01-01 04:02:10.343727,19.154.171.79,gsmith,True,
2019-01-01 04:04:33.642449,177.58.79.142,elopez,True,
2019-01-01 04:58:06.684226,177.58.79.142,elopez,True,
2019-01-01 05:00:45.345166,19.154.171.79,gsmith,True,
2019-01-01 05:15:52.423877,19.154.171.79,gsmith,True,
2019-01-01 05:17:33.793253,19.154.171.79,gsmith,True,
2019-01-01 06:10:34.659535,67.158.198.212,djones,True,
2019-01-01 06:46:23.469959,67.158.198.212,djones,True,
2019-01-01 07:09:13.942149,67.158.198.212,djones,True,
2019-01-01 08:14:27.258887,23.143.69.122,djones,True,
2019-01-01 08:24:19.802201,15.176.178.91,kkim,True,
2019-01-01 08:54:40.947364,5.118.187.36,kkim,True,
2019-01-01 09:22:30.592014,86.40.218.53,usmith,True,
2019-01-01 09:23:31.097044,43.127.227.189,llopez,True,
2019-01-01 09:30:36.467950,43.127.227.189,llopez,True,
2019-01-01 09:34:29.877304,23.143.69.122,djones,True,
2019-01-01 09:46:48.040239,15.176.178.91,kkim,True,
2019-01-01 10:03:29.848543,174.192.13.18,usmith,True,
2019-01-01 10:20:04.572768,234.76.20.129,usmith,True,
2019-01-01 10:32:46.442926,174.192.13.18,usmith,True,
2019-01-01 10:36:18.316668,47.229.53.68,dki,False,error_wrong_username
2019-01-01 10:36:19.316668,47.229.53.68,dki,False,error_wrong_username
2019-01-01 10:36:20.316668,47.229.53.68,jsmith,False,error_wrong_password
2019-01-01 10:36:21.316668,47.229.53.68,jsmith,True,
2019-01-01 10:36:22.316668,47.229.53.68,xkim,False,error_wrong_password
2019-01-01 10:36:23.316668,47.229.53.68,xkim,False,error_wrong_password
2019-01-01 10:36:24.316668,47.229.53.68,jones,False,error_wrong_username
2019-01-01 10:36:25.316668,47.229.53.68,jones,False,error_wrong_username
2019-01-01 10:36:26.316668,47.229.53.68,ubrown,True,
2019-01-01 10:36:27.316668,47.229.53.68,wbrowi,False,error_wrong_username
2019-01-01 10:36:28.316668,47.229.53.68,wbrowi,False,error_wrong_username
2019-01-01 10:36:29.316668,47.229.53.68,obzown,False,error_wrong_username
2019-01-01 10:36:30.316668,47.229.53.68,obzown,False,error_wrong_username
2019-01-01 10:36:31.316668,47.229.53.68,aki,False,error_wrong_username
2019-01-01 10:36:32.316668,47.229.53.68,aki,False,error_wrong_username
2019-01-01 10:36:33.316668,47.229.53.68,vjones,False,error_wrong_password
2019-01-01 10:36:34.316668,47.229.53.68,vjones,True,
2019-01-01 10:36:35.316668,47.229.53.68,ksmith,True,
2019-01-01 10:36:36.316668,47.229.53.68,fsmith,False,error_wrong_password
2019-01-01 10:36:37.316668,47.229.53.68,fsmith,True,
2019-01-01 10:36:38.316668,47.229.53.68,vim,False,error_wrong_username
2019-01-01 10:36:39.316668,47.229.53.68,vim,False,error_wrong_username
2019-01-01 10:36:40.316668,47.229.53.68,admin,False,error_wrong_password
2019-01-01 10:36:41.316668,47.229.53.68,admin,False,error_wrong_password
2019-01-01 10:36:42.316668,47.229.53.68,tjones,False,error_wrong_password
2019-01-01 10:36:43.316668,47.229.53.68,tjones,True,
2019-01-01 10:36:44.316668,47.229.53.68,psith,False,error_wrong_username
2019-01-01 10:36:45.316668,47.229.53.68,psith,False,error_wrong_username
2019-01-01 10:36:46.316668,47.229.53.68,pim,False,error_wrong_username
2019-01-01 10:36:47.316668,47.229.53.68,pim,False,error_wrong_username
2019-01-01 10:36:48.316668,47.229.53.68,blope,False,error_wrong_username
2019-01-01 10:36:49.316668,47.229.53.68,blopez,True,
2019-01-01 10:36:50.316668,47.229.53.68,pbrwn,False,error_wrong_username
2019-01-01 10:36:51.316668,47.229.53.68,pbrwn,False,error_wrong_username
2019-01-01 10:36:52.316668,47.229.53.68,kbrow,False,error_wrong_username
2019-01-01 10:36:53.316668,47.229.53.68,kbrow,False,error_wrong_username
2019-01-01 10:36:54.316668,47.229.53.68,wsmith,False,error_wrong_password
2019-01-01 10:36:55.316668,47.229.53.68,wsmith,False,error_wrong_password
2019-01-01 10:36:56.316668,47.229.53.68,brown,False,error_wrong_username
2019-01-01 10:36:57.316668,47.229.53.68,brown,False,error_wrong_username
2019-01-01 10:36:58.316668,47.229.53.68,fbrown,False,error_wrong_password
2019-01-01 10:36:59.316668,47.229.53.68,fbrown,False,error_wrong_password
2019-01-01 10:37:00.316668,47.229.53.68,njones,False,error_wrong_password
2019-01-01 10:37:01.316668,47.229.53.68,njones,False,error_wrong_password
2019-01-01 10:37:02.316668,47.229.53.68,kim,False,error_wrong_username
2019-01-01 10:37:03.316668,47.229.53.68,kim,False,error_wrong_username
2019-01-01 10:37:04.316668,47.229.53.68,gki,False,error_wrong_username
2019-01-01 10:37:05.316668,47.229.53.68,gkim,False,error_wrong_password
2019-01-01 10:37:06.316668,47.229.53.68,nbron,False,error_wrong_username
2019-01-01 10:37:07.316668,47.229.53.68,nbron,False,error_wrong_username
2019-01-01 10:37:08.316668,47.229.53.68,ikim,False,error_wrong_password
2019-01-01 10:37:09.316668,47.229.53.68,ikim,False,error_wrong_password
2019-01-01 10:37:10.316668,47.229.53.68,olpez,False,error_wrong_username
2019-01-01 10:37:11.316668,47.229.53.68,olopez,True,
2019-01-01 10:37:12.316668,47.229.53.68,smith,False,error_wrong_username
2019-01-01 10:37:13.316668,47.229.53.68,vsmith,True,
2019-01-01 10:37:14.316668,47.229.53.68,emith,False,error_wrong_username
2019-01-01 10:37:15.316668,47.229.53.68,emith,False,error_wrong_username
2019-01-01 10:37:16.316668,47.229.53.68,fjnes,False,error_wrong_username
2019-01-01 10:37:17.316668,47.229.53.68,fjnes,False,error_wrong_username
2019-01-01 10:37:18.316668,47.229.53.68,jbron,False,error_wrong_username
2019-01-01 10:37:19.316668,47.229.53.68,jbron,False,error_wrong_username
2019-01-01 10:37:20.316668,47.229.53.68,ulopz,False,error_wrong_username
2019-01-01 10:37:21.316668,47.229.53.68,ulopz,False,error_wrong_username
2019-01-01 10:37:22.316668,47.229.53.68,ijones,True,
2019-01-01 10:37:23.316668,47.229.53.68,jones,False,error_wrong_username
2019-01-01 10:37:24.316668,47.229.53.68,hjones,False,error_wrong_password
2019-01-01 10:37:25.316668,47.229.53.68,msmitr,False,error_wrong_username
2019-01-01 10:37:26.316668,47.229.53.68,msmitr,False,error_wrong_username
2019-01-01 10:37:27.316668,47.229.53.68,jones,False,error_wrong_username
2019-01-01 10:37:28.316668,47.229.53.68,cjones,True,
2019-01-01 10:37:29.316668,47.229.53.68,xmith,False,error_wrong_username
2019-01-01 10:37:30.316668,47.229.53.68,xmith,False,error_wrong_username
2019-01-01 10:37:31.316668,47.229.53.68,bjones,True,
2019-01-01 10:37:32.316668,47.229.53.68,dlkpez,False,error_wrong_username
2019-01-01 10:37:33.316668,47.229.53.68,dlopez,False,error_wrong_password
2019-01-01 10:37:34.316668,47.229.53.68,sjonhs,False,error_wrong_username
2019-01-01 10:37:35.316668,47.229.53.68,sjonhs,False,error_wrong_username
2019-01-01 10:37:36.316668,47.229.53.68,sbrwn,False,error_wrong_username
2019-01-01 10:37:37.316668,47.229.53.68,sbrwn,False,error_wrong_username
2019-01-01 10:37:38.316668,47.229.53.68,tlopez,False,error_wrong_password
2019-01-01 10:37:39.316668,47.229.53.68,tlopez,False,error_wrong_password
2019-01-01 10:37:40.316668,47.229.53.68,pjone,False,error_wrong_username
2019-01-01 10:37:41.316668,47.229.53.68,pjones,True,
2019-01-01 10:37:42.316668,47.229.53.68,yim,False,error_wrong_username
2019-01-01 10:37:43.316668,47.229.53.68,ykim,False,error_wrong_password
2019-01-01 10:37:44.316668,47.229.53.68,fkkm,False,error_wrong_username
2019-01-01 10:37:45.316668,47.229.53.68,fkkm,False,error_wrong_username
2019-01-01 10:37:46.316668,47.229.53.68,osmith,True,
2019-01-01 10:37:47.316668,47.229.53.68,rbrohn,False,error_wrong_username
2019-01-01 10:37:48.316668,47.229.53.68,rbrohn,False,error_wrong_username
2019-01-01 10:37:49.316668,47.229.53.68,tbrohn,False,error_wrong_username
2019-01-01 10:37:50.316668,47.229.53.68,tbrohn,False,error_wrong_username
2019-01-01 10:37:51.316668,47.229.53.68,mbrown,True,
2019-01-01 10:37:52.316668,47.229.53.68,zkim,True,
2019-01-01 10:37:53.316668,47.229.53.68,yopez,False,error_wrong_username
2019-01-01 10:37:54.316668,47.229.53.68,yopez,False,error_wrong_username
2019-01-01 10:37:55.316668,47.229.53.68,kkim,True,
2019-01-01 10:37:56.316668,47.229.53.68,ljone,False,error_wrong_username
2019-01-01 10:37:57.316668,47.229.53.68,ljone,False,error_wrong_username
2019-01-01 10:37:58.316668,47.229.53.68,qsith,False,error_wrong_username
2019-01-01 10:37:59.316668,47.229.53.68,qsith,False,error_wrong_username
2019-01-01 10:38:00.316668,47.229.53.68,jvim,False,error_wrong_username
2019-01-01 10:38:01.316668,47.229.53.68,jvim,False,error_wrong_username
2019-01-01 10:38:02.316668,47.229.53.68,aones,False,error_wrong_username
2019-01-01 10:38:03.316668,47.229.53.68,aones,False,error_wrong_username
2019-01-01 10:38:04.316668,47.229.53.68,jlopwz,False,error_wrong_username
2019-01-01 10:38:05.316668,47.229.53.68,jlopwz,False,error_wrong_username
2019-01-01 10:38:06.316668,47.229.53.68,master,True,
2019-01-01 10:38:07.316668,47.229.53.68,vgrown,False,error_wrong_username
2019-01-01 10:38:08.316668,47.229.53.68,vgrown,False,error_wrong_username
2019-01-01 10:38:09.316668,47.229.53.68,bzrown,False,error_wrong_username
2019-01-01 10:38:10.316668,47.229.53.68,bzrown,False,error_wrong_username
2019-01-01 10:38:11.316668,47.229.53.68,ismih,False,error_wrong_username
2019-01-01 10:38:12.316668,47.229.53.68,ismih,False,error_wrong_username
2019-01-01 10:38:13.316668,47.229.53.68,zjones,False,error_wrong_password
2019-01-01 10:38:14.316668,47.229.53.68,zjones,False,error_wrong_password
2019-01-01 10:38:15.316668,47.229.53.68,iloez,False,error_wrong_username
2019-01-01 10:38:16.316668,47.229.53.68,iloez,False,error_wrong_username
2019-01-01 10:38:17.316668,47.229.53.68,wsmih,False,error_wrong_username
2019-01-01 10:38:18.316668,47.229.53.68,wsmih,False,error_wrong_username
2019-01-01 10:38:19.316668,47.229.53.68,csmit,False,error_wrong_username
2019-01-01 10:38:20.316668,47.229.53.68,csmit,False,error_wrong_username
2019-01-01 10:38:21.316668,47.229.53.68,psmith,False,error_wrong_password
2019-01-01 10:38:22.316668,47.229.53.68,psmith,False,error_wrong_password
2019-01-01 10:38:23.316668,47.229.53.68,llopez,False,error_wrong_password
2019-01-01 10:38:24.316668,47.229.53.68,llopez,True,
2019-01-01 10:38:25.316668,47.229.53.68,rsminh,False,error_wrong_username
2019-01-01 10:38:26.316668,47.229.53.68,rsminh,False,error_wrong_username
2019-01-01 10:38:27.316668,47.229.53.68,ekim,False,error_wrong_password
2019-01-01 10:38:28.316668,47.229.53.68,ekim,False,error_wrong_password
2019-01-01 10:38:29.316668,47.229.53.68,zlopez,True,
2019-01-01 10:38:30.316668,47.229.53.68,rlim,False,error_wrong_username
2019-01-01 10:38:31.316668,47.229.53.68,rlim,False,error_wrong_username
2019-01-01 10:38:32.316668,47.229.53.68,hsmith,False,error_wrong_password
